Profil,Lieu_de_recherche,Disponibilité,Points_forts,Expérience,Compétence
Ingénieur en sécurité  et administration systèmes informatiques| Data Manager,France entière,immédiate,"Administration des systèmes et réseaux
Architecture et sécurité réseaux
Data management
Gérer les risques de cybersécurité
Gouvernance systèmes d'information","Consultant technique

|
SRA Afrique (Casablanca - Maroc)","Gérer les risques de cybersécurité
(Avancé)
S'assurer du respect des règles de cybersécurité
(Avancé)
Surveiller le fonctionnement de réseaux informatiques et télécom
(Avancé)
Vérifier la conformité de fonctionnement et d'utilisation des systèmes d'information
(Avancé)"
Ingénieur IT Junior – Development | Data | BI | ETL | SQL | Agile,France entière,immédiate,"Concevoir et gérer un projet
Data engineer
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Python","Data analysis

|
 (Toulon-France)","Algorithmique
(Avancé)
Analyse statistique
(Avancé)
Big data Analytics
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Conception et analyse d'enquête
Développement économique
Gestion budgétaire
Gestion commerciale, relation clients
GRH
Insights marketing
Intelligence économique
Java
(Avancé)
Langages de programmation informatique
Logiciels de gestion de base de données
(Avancé)
Modélisation et simulation
Modélisation statistique
Python
(Avancé)"
Développeur Python spécialisé en Data Engineering,France entière,immédiate,"Anglais technique
Data engineer
Intelligence artificielle
Python
Technologies SPARK (Framework)","MIAGE DAta et Business Intelligence (DABI)

|
Bac+5 et plus ou équivalents","Algorithmique
Anglais technique
Architecture web
Business Intelligence (BI) / Informatique décisionnelle
Cloud computing
Domaine informatique client-serveur
Génie logiciel
Informatique de gestion
Informatique scientifique et technique
Intelligence artificielle
Java
Langages de programmation informatique
Maîtrise d’un outil de gestion de flux (Kafka, Flink…)
Programmation logicielle
Python
Système d'exploitation Linux
Systèmes d'exploitation informatique
Technologies SPARK (Framework)"
Data Scientist,France entière,immédiate,"Backend Java, Python, C++, PHP, SQL, NoSQL
Data Science pandas, NumPy, Matplotlib, SciPy, RStudio
Machine Learning Scikit-learn, TensorFlow, Keras, PyTorch
Sociales Autonôme, Ingénieux, Autodictacte, Rigoureux","Data Scientist

|
touwi (Caen)Cette Expérience contient une pièce jointe","Algorithmique
Docker
GitHub
Java
Javascript
Kubernetes
Modélisation et simulation
PHP
Python
React.js
SQL
Système d'exploitation Linux
Système de Gestion de Bases de Données (SGBD)"
Ingénieur Data & IA | Développeur Python,France entière,immédiate,"Big data Analytics
Concevoir et gérer un projet
Intégrer des outils IA/Data Science
Modéliser une base de données
Python","Ingénieur en Machine Learning (stage)

|
Decathlon (Lille)","Algorithmique
Analyse statistique
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Intelligence artificielle
Java
Python
Système d'exploitation Linux"
"Ingénieur Junior en Cybersécurité, Data et Transformation Digitale",France entière,immédiate,"Data engineer
Gérer les risques de cybersécurité
Analyser, exploiter, structurer des données
Concevoir et gérer un projet
Gestion des risques (Risk Management)","Formation d’ingénieur - Sciences et Technologies de l'Information et de la Communication

|
Bac+5 et plus ou équivalents","Analyser, exploiter, structurer des données
(Avancé)
Analyser / traiter l'information à des fins d'anticipation
(Intermédiaire)
Concevoir l'architecture d'un système, d'un réseau
(Débutant)
Concevoir un logiciel, un système d'informations, une application
(Avancé)
Contrôler la conformité des données
(Intermédiaire)
Définir les solutions de stockage et de structuration des données
(Intermédiaire)
Déployer, intégrer un logiciel, un système d'informations, une application
(Intermédiaire)
Développer une application en lien avec une base de données
(Avancé)
Enrichir une base de données
(Avancé)
Gérer des données massives
(Avancé)
Gérer et déployer des logiciels à distance
(Intermédiaire)
Gérer et maitriser des bases de données (SQL/NoSQL)
(Intermédiaire)
Gérer les droits d'accès des utilisateurs
(Débutant)
Gérer une architecture technique
(Avancé)
Gérer une base de données numériques
(Avancé)
Mener et exploiter une analyse stratégique
(Intermédiaire)
Mettre à jour un dossier, une base de données
(Avancé)
Mettre en place une blockchain (protocoles, consensus etc.)
(Débutant)
Modéliser une base de données
(Avancé)
Participer à la mise en place d'un Progiciel de Gestion Intégré (PGI)
(Intermédiaire)
Piloter des évolutions ou des paramétrages à apporter aux composants
(Intermédiaire)
Procéder aux phases de tests et de recettes des applications développées
(Intermédiaire)
Réaliser une analyse ou modélisation statistique de données
(Intermédiaire)
Tester un logiciel, un système d'informations, une application
(Intermédiaire)"
"Data Scientist en début de carrière, spécialisée en IA et Data Science, à la recherche d'opportunités.",France entière,immédiate,"Apprentissage automatique (machine learning)
Exploiter des solutions de Data Science ou d'Intelligence Artificielle
Intelligence artificielle
Python
SQL","Data Scientist Intern

|
STMicroelectronics (Sites de Grenoble et Crolles, France)","Apprentissage automatique (machine learning)
(Avancé)
Domaine informatique client-serveur
(Avancé)
Intelligence artificielle
(Avancé)
Outils de data management
(Avancé)
Outils de traitement ou d'intégration en textes
(Avancé)
Python
(Avancé)
SQL
(Avancé)
Système de Gestion de Bases de Données (SGBD)
(Avancé)"
Data Engineer,France entière,immédiate,"Azure Data Factory
Big data Analytics
PySpark
Python
SQL","Data Engineer

|
Lay-Consulting (Paris, France)","Algorithmique
(Avancé)
Analyse statistique
(Avancé)
Anglais technique
(Avancé)
Apache
(Avancé)
Application web
(Avancé)
Apprentissage automatique (machine learning)
(Avancé)
Architecture web
AutoItScript
(Avancé)
Basic
(Avancé)
Big data Analytics
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
C/C++
(Avancé)
C#
(Avancé)
Cloud computing
(Avancé)
Cobol
Cryptologie
CSS
(Avancé)
Docker
(Avancé)
Domaine informatique client-serveur
(Avancé)
Économie du développement durable
(Avancé)
Génie logiciel
(Avancé)
Gestion budgétaire
Gestion commerciale, relation clients
Gestion de version GIT
(Avancé)
HTML
(Avancé)
Informatique de gestion
(Avancé)
Informatique industrielle
(Avancé)
Informatique scientifique et technique
(Avancé)
Intelligence artificielle
(Avancé)
Intelligence économique
(Avancé)
Java
(Avancé)
Kubernetes
(Avancé)
Langages de programmation informatique
(Avancé)
Logiciel de statistiques
(Avancé)
Logiciels de gestion de base de données
(Avancé)
Maîtrise d’un outil de gestion de flux (Kafka, Flink…)
(Avancé)
Microsoft Dynamics CRM
(Avancé)
Microsoft Exchange Server
(Avancé)
Microsoft SQL Server
(Avancé)
Modélisation et simulation
(Avancé)
Modélisation statistique
(Avancé)
MySQL
(Avancé)
Programmation logicielle
(Avancé)
Python
(Avancé)
Realflow
(Avancé)
Sciences de l'information et des bibliothèques
(Avancé)
SQL
(Avancé)
Système d'exploitation Linux
(Avancé)
Système d'exploitation Unix
(Avancé)
Système d'exploitation Windows
(Avancé)
Système de Gestion de Bases de Données (SGBD)
(Avancé)
Systèmes d'exploitation informatique
(Avancé)
Techniques de mémorisation
(Avancé)
Technologies de l'accessibilité numérique
(Avancé)
Technologies HADOOP
(Avancé)
Technologies SPARK (Framework)
(Avancé)
Visual Basic
(Avancé)
XML
(Avancé)"
Data Scientist - Data Analyst,France entière,immédiate,"Analyser, exploiter, structurer des données
Big data Analytics
Concevoir des modèles de détection des insights consommateurs
Modélisation statistique
Réaliser un modèle de prévision","Data Scientist

|
POLL (Paris)Cette Expérience contient une pièce jointe","Big data Analytics
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Conception et analyse d'enquête
(Avancé)
Insights marketing
(Avancé)
Intelligence économique
(Intermédiaire)
Langages de programmation informatique
(Avancé)
Modélisation et simulation
(Avancé)
Modélisation statistique
(Avancé)"
Développeur IA/ Data Analyst (recherche alternance à partir de mars 2025),France entière,immédiate,"Big data Analytics
Modélisation et simulation
Modélisation informatique
Présenter et diffuser les résultats des études réalisées
Réaliser une étude",Développeur en intelligence artificielle,"Analyse statistique
Big data Analytics
Économétrie
Gestion budgétaire
Logiciel de traitement de texte
(Avancé)
Logiciel tableur
(Avancé)
Merchandising / Marchandisage
Modélisation et simulation
Modélisation statistique
Sciences économiques et sociales
Typologie du client"
